,CelularPraAcessar,ComputadorPraAcessar,RendaPerCapita,TemCelular,TemComputador
2,Não,2.0,1150.0,2.0,1.0
3,Sim,2.0,793.0,2.0,1.0
8,Sim,2.0,818.0,2.0,1.0
10,Sim,2.0,1716.0,2.0,1.0
11,Sim,2.0,2500.0,2.0,1.0
13,Sim,2.0,1400.0,2.0,1.0
15,Sim,2.0,666.0,2.0,1.0
18,Sim,2.0,1437.0,2.0,1.0
19,Não,2.0,600.0,2.0,1.0
20,Sim,2.0,933.0,2.0,1.0
21,Sem Informação,missing,1087.0,2.0,1.0
27,Sim,2.0,3325.0,2.0,1.0
28,Sim,2.0,3500.0,2.0,1.0
29,Sim,2.0,1172.0,2.0,1.0
31,Sim,2.0,3000.0,2.0,1.0
32,Não,2.0,366.0,2.0,1.0
33,Não,2.0,175.0,2.0,1.0
35,Sem Informação,missing,262.0,2.0,1.0
36,Sem Informação,missing,36.0,2.0,1.0
37,Sim,2.0,596.0,2.0,1.0
39,Sim,2.0,196.0,2.0,1.0
42,Não,2.0,975.0,2.0,1.0
43,Não,2.0,850.0,2.0,1.0
44,Sim,2.0,2000.0,2.0,1.0
45,Não,2.0,480.0,2.0,1.0
48,Sem Informação,missing,530.0,2.0,1.0
50,Sim,2.0,666.0,2.0,1.0
52,Sem Informação,missing,835.0,2.0,1.0
67,Sem Informação,missing,425.0,2.0,1.0
72,Sim,4.0,590.0,2.0,1.0
74,Sim,2.0,625.0,2.0,1.0
79,Sim,2.0,1766.0,2.0,1.0
80,Sim,2.0,2900.0,2.0,1.0
87,Sim,2.0,184.0,2.0,1.0
93,Sim,2.0,512.0,2.0,1.0
112,Sim,4.0,1250.0,2.0,1.0
114,Sem Informação,missing,1129.0,2.0,1.0
116,Sim,2.0,800.0,2.0,1.0
124,Sim,4.0,694.0,2.0,1.0
139,Sim,2.0,433.0,2.0,1.0
140,Sim,2.0,440.0,2.0,1.0
143,Sim,2.0,1420.0,2.0,1.0
